;05.02.2022 13:00:00;05.02.2022 10:59:33;05.02.2022 09:00:34;05.02.2022 07:01:32;05.02.2022 05:02:34;05.02.2022 03:03:30;05.02.2022 01:04:20;04.02.2022 23:05:01;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 23:03:39;03.02.2022 21:01:07;03.02.2022 19:02:05;03.02.2022 17:02:40;03.02.2022 15:03:40;03.02.2022 13:04:41;03.02.2022 11:05:53;03.02.2022 08:58:48;03.02.2022 06:59:59;03.02.2022 05:00:47;03.02.2022 03:01:44;03.02.2022 01:02:43;02.02.2022 22:59:15;02.02.2022 21:00:11;02.02.2022 19:01:21;02.02.2022 17:02:34;02.02.2022 15:03:42;02.02.2022 13:04:47;02.02.2022 11:05:54;02.02.2022 08:59:06;02.02.2022 07:00:14;02.02.2022 05:09:19;02.02.2022 03:02:34;02.02.2022 01:03:37;01.02.2022 23:04:24;01.02.2022 21:05:29;01.02.2022 18:58:39;01.02.2022 16:59:49;01.02.2022 15:00:03;01.02.2022 13:00:13;01.02.2022 11:00:54;01.02.2022 09:01:45;01.02.2022 07:03:01;01.02.2022 05:04:19;01.02.2022 03:05:36;01.02.2022 00:58:47
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Bitcoin;36227,6;36264,3;36189,1;36291,6;36207,8;36080,1;36289,2;35470;35207,86167;34945,72333;34683,585;34421,44667;34159,30833;33897,17;33635,03167;33372,89333;33110,755;32848,61667;32586,47833;32324,34;32000,1;32188,4;32382,2;32292,1;32569,7;32423;32881;32825,5;32604,8;32711,5;32675,9;32626,7;33282,3;33146,6;33144,9;33943,8;34062,1;34127,5;33998,2;34079,5;34176,6;34137;34373,6;34482,1;34230,5;34579;34300;34600,1;34120,6;34005;34170,8;34230,3;34389,6;34146,2;34262,9
Ethereum;2633,87;2645,79;2625,33;2645;2619,33;2598,45;2612,71;2579,89;2558,6;2537,31;2516,02;2494,73;2473,44;2452,15;2430,86;2409,57;2388,28;2366,99;2345,7;2324,41;2275,58;2292,84;2315,25;2299,43;2316,98;2308;2369,54;2356;2356,62;2380,88;2373,9;2340,09;2397,41;2372,29;2359,54;2450,83;2449,9;2454,42;2445,03;2449,41;2465,01;2447,86;2477,61;2483,6;2463,27;2476,56;2459,33;2487;2452,02;2429,51;2431,97;2431,85;2453,73;2396,9;2396,73
Binance Coin;369,865;371,045;369,347;366,248;348,813;348,106;346,327;345,405;343,37025;341,3355;339,30075;337,266;335,23125;333,1965;331,16175;329,127;327,09225;325,0575;323,02275;320,988;319,12;320,301;318,877;321,659;319,836;327,355;326,098;325,043;323,723;326,024;326,594;331,056;331,848;329,648;330,604;340,99;338,587;336,933;337,554;339,228;341,081;338,873;342,413;342,795;342,852;343,134;338,722;341,376;339,242;340,626;339,724;340,718;340,018;336,387;334,163
Tether;0,8748;0,8749;0,8744;0,8741;0,874;0,8742;0,8739;0,874;0,874151667;0,874303333;0,874455;0,874606667;0,874758333;0,87491;0,875061667;0,875213333;0,875365;0,875516667;0,875668333;0,87582;0,8755;0,8749;0,877;0,8815;0,8872;0,8869;0,8871;0,8864;0,8857;0,8869;0,8858;0,8866;0,8854;0,8852;0,8861;0,8851;0,8845;0,8862;0,8876;0,8878;0,888;0,8878;0,888;0,8883;0,8896;0,8901;0,8891;0,8888;0,8883;0,8887;0,8884;0,8903;0,8908;0,8917;0,8911
Solana;100,375;101,392;101,535;101,238;98,0803;97,2373;96,295;96,5945;95,79966667;95,00483333;94,21;93,41516667;92,62033333;91,8255;91,03066667;90,23583333;89,441;88,64616667;87,85133333;87,0565;84,5208;85,3815;85,4724;85,0912;84,0711;87,4838;88,0358;87,3813;88,1714;89,8607;89,7113;93,4122;96,4732;93,5037;93,8734;97,4474;97,3746;96,8085;97,1744;97,1963;98,2483;97,6047;97,6889;98,3703;99,3505;99,8069;95,6138;94,8919;93,9821;95,4234;93,6746;93,9712;91,2625;89,8934;88,8338
Cardano;1,011908;1,014911;1,007;1,017228;0,99848;0,989293;0,994721;0,97;0,96613725;0,9622745;0,95841175;0,954549;0,95068625;0,9468235;0,94296075;0,939098;0,93523525;0,9313725;0,92750975;0,923647;0,915583;0,918429;0,916616;0,909935;0,911761;0,903;0,923312;0,920668;0,910786;0,908;0,909591;0,912682;0,93456;0,927575;0,927461;0,950035;0,945562;0,949628;0,941683;0,954702;0,964988;0,964471;0,975;0,960458;0,952351;0,952231;0,947587;0,948171;0,936709;0,933318;0,938162;0,937629;0,940814;0,931528;0,936752
Ripple;0,58659;0,58872;0,58546;0,58598;0,58497;0,58138;0,57304;0,55697;0,554660833;0,552351667;0,5500425;0,547733333;0,545424167;0,543115;0,540805833;0,538496667;0,5361875;0,533878333;0,531569167;0,52926;0,52451;0,52671;0,52963;0,52801;0,52893;0,52301;0,53669;0,53671;0,53046;0,53116;0,5317;0,53152;0,5424;0,53876;0,54105;0,55479;0,55444;0,55417;0,55296;0,55621;0,55445;0,55463;0,55812;0,55603;0,55532;0,55486;0,55475;0,55512;0,55194;0,54823;0,54902;0,55393;0,55753;0,55052;0,55133
Polkadot;18,9007;18,9777;19,0001;19,3465;19,0885;18,0126;17,8472;17,5777;17,47805;17,3784;17,27875;17,1791;17,07945;16,9798;16,88015;16,7805;16,68085;16,5812;16,48155;16,3819;16,0342;16,2066;16,3128;16,2022;16,2001;16,0256;16,4694;16,3947;16,2145;16,3857;16,6196;16,6846;17,2863;17,0704;17,0275;17,9472;18,0635;18,0051;17,8251;17,8349;17,975;17,74;17,3946;17,5756;17,5777;17,618;17,4526;17,5123;17,3535;17,2073;17,2536;17,2345;17,5802;17,1284;17,2907
USD Coin;0,8741;0,874375;0,873788;0,873488;0,873476;0,873675;0,873463;0,873563;0,873721917;0,873880833;0,87403975;0,874198667;0,874357583;0,8745165;0,874675417;0,874834333;0,87499325;0,875152167;0,875311083;0,87547;0,875237;0,87455;0,876737;0,881147;0,886756;0,886545;0,886656;0,885957;0,885346;0,886457;0,885357;0,886245;0,884957;0,884757;0,885746;0,884646;0,884146;0,885846;0,887245;0,887445;0,887645;0,887356;0,887556;0,887945;0,889244;0,889744;0,888444;0,888556;0,887856;0,888456;0,888045;0,889766;0,890444;0,891532;0,890833
