;18.02.2022 18:03:56;18.02.2022 16:05:10;18.02.2022 14:06:03;18.02.2022 12:07:28;18.02.2022 10:01:03;18.02.2022 08:02:26;18.02.2022 06:04:18;18.02.2022 04:05:35;18.02.2022 02:06:47;18.02.2022 00:00:15;17.02.2022 22:01:09;17.02.2022 20:02:58;17.02.2022 18:04:51;17.02.2022 16:05:41;17.02.2022 14:07:28;17.02.2022 12:00:22;17.02.2022 10:01:14;17.02.2022 08:02:01;17.02.2022 06:03:40;17.02.2022 04:05:04;17.02.2022 02:05:57;17.02.2022 00:07:12;16.02.2022 22:00:37;16.02.2022 20:02:05;16.02.2022 18:03:00;16.02.2022 16:04:04;16.02.2022 14:06:05;16.02.2022 12:00:17;16.02.2022 10:02:02;16.02.2022 08:03:11;16.02.2022 06:04:53;16.02.2022 04:06:09;16.02.2022 02:07:30;16.02.2022 00:00:35;15.02.2022 22:01:45;15.02.2022 20:03:36
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Bitcoin;35329;35800,1;35649,1;35834,5;35995,5;35851,8;35716,9;35889,1;35703;35846,5;36057,7;36324;36966,3;36974,2;38000,1;37844,9;38303,4;38649,3;38454,4;38717,3;38742,5;38700,4;38801;38584,1;38423,7;38361;38748;38815,3;38821,1;38803;38722,5;38904,3;38931,4;38962,4;38871,3;38864
Ethereum;2464,99;2520;2556,41;2558,8;2587,81;2557,24;2536,23;2558,4;2543,01;2550,02;2557;2570,74;2622,8;2629,29;2689,96;2683,29;2701,92;2732,62;2700;2755,52;2773,71;2762,23;2767,82;2720,38;2710,38;2700,28;2741,85;2754,6;2759,48;2763,91;2755,07;2785;2782,57;2756,65;2740,99;2745,95
Binance Coin;349,208;357,82;356,038;359,787;359,392;357,273;355,539;355,227;352,896;354,738;359,895;363,236;364,071;367,609;373,694;371,575;376,494;374,024;374,491;377,479;376,162;376,516;379,109;374,44;374,006;373,554;379,539;378,621;378,804;379,139;378,862;381,814;380,412;376,451;378,039;377,466
Tether;0,8834;0,8821;0,8816;0,8814;0,8799;0,8802;0,8807;0,8808;0,8807;0,881;0,8808;0,881;0,8812;0,8806;0,8799;0,8801;0,8811;0,8813;0,8825;0,8797;0,8795;0,8793;0,8794;0,88;0,8796;0,8804;0,8806;0,8799;0,8791;0,8809;0,8821;0,8824;0,8814;0,881;0,8808;0,8807
Solana;80,2481;83,1826;83,1166;84,3852;84,568;83,6806;82,7946;82,9443;82,4159;82,831;82,9273;84,4615;85,7663;86,2274;87,1365;86,5599;87,2994;88,5883;87,7547;89,3071;90,0784;90,0755;90,0681;87,516;87,6082;87,4061;89,5394;89,785;91,0748;90,9705;89,8419;91,1784;91,1632;90,5316;89,595;90,1689
Cardano;0,885361;0,900629;0,903398;0,90709;0,915375;0,912452;0,902564;0,907052;0,900687;0,905139;0,904461;0,90861;0,927007;0,925155;0,942513;0,935965;0,941978;0,951051;0,94266;0,95709;0,958236;0,95447;0,954938;0,94615;0,942896;0,943598;0,956114;0,961987;0,971282;0,9666;0,959376;0,969077;0,970699;0,967472;0,960117;0,963375
Ripple;0,67398;0,68942;0,68788;0,6951;0,70233;0,70439;0,69061;0,69268;0,68765;0,68366;0,67887;0,69;0,70835;0,706;0,71704;0,712;0,72076;0,73022;0,72624;0,73668;0,74114;0,73899;0,74024;0,72515;0,71899;0,71846;0,72902;0,72957;0,73201;0,73809;0,73421;0,73772;0,74441;0,73062;0,73372;0,72607
Polkadot;15,7543;16,0807;16,1102;16,1436;16,35;16,1961;16,1869;16,1247;16,0193;16,039;16,0395;16,1336;16,4099;16,4235;16,803;16,8;16,9558;17,2185;17,1227;17,3365;17,5473;17,5019;17,5559;17,0879;16,9714;16,8809;17,3027;17,384;17,4486;17,4755;17,2601;17,4956;17,6273;17,5407;17,4525;17,5142
USD Coin;0,88287;0,881759;0,880971;0,880959;0,87956;0,87976;0,880348;0,88036;0,880172;0,880371;0,88036;0,880471;0,880571;0,88006;0,879372;0,879772;0,880571;0,880771;0,882047;0,87926;0,87906;0,878948;0,87896;0,87956;0,879072;0,879872;0,879984;0,879284;0,878485;0,880371;0,881571;0,881871;0,880871;0,880471;0,880183;0,880371
Avalanche;74,0643;75,596;76,4525;78,0744;78,8216;78,2322;78,0917;78,5937;77,0348;78,3296;76,9555;77,9685;79,81;80,3016;81,4699;81,6038;82,8675;83,5032;83,9251;86,3777;84,2825;84,3952;83,6837;81,884;81,8292;81,7539;82,7588;83,0098;83,8749;83,5886;83,1379;83,2544;81,7763;79,9684;79,545;79,1136
Dogecoin;0,12155584;0,12341978;0,12412928;0,12454182;0,1249458;0,12463632;0,12373835;0,12409063;0,123298;0,12323791;0,12348816;0,1243972;0,12714273;0,12652785;0,12916932;0,12922804;0,13057902;0,13052053;0,12999225;0,13142718;0,1317491;0,13119156;0,13129442;0,13024;0,129741;0,12924272;0,1307691;0,13128108;0,13160127;0,13178264;0,13160932;0,13288944;0,13256256;0,1322381;0,13203192;0,13178264
Shiba Inu;0,00002499;0,00002543;0,00002541;0,0000259;0,00002611;0,00002591;0,00002563;0,00002551;0,00002461;0,00002501;0,00002568;0,00002622;0,00002662;0,0000269;0,00002739;0,00002752;0,00002836;0,00002711;0,00002716;0,00002748;0,00002736;0,00002708;0,00002705;0,00002667;0,0000267;0,00002668;0,00002698;0,00002713;0,00002716;0,00002691;0,00002697;0,00002715;0,00002723;0,00002717;0,00002716;0,00002692
Terra;43,8078;44,6217;44,9704;45,1806;45,5084;44,987;44,8717;44,7887;44,6955;44,9347;45,2907;46,3054;47,5794;47,6527;49,512;48,9007;49,3857;49,5026;49,2909;49,1488;49,5598;49,4518;49,774;49,2272;49,2224;49,0207;49,8772;50,6118;50,7268;49,5594;49,5035;49,6526;49,8167;49,336;49,3424;49,3744
Litecoin;102,67;104,53;106,17;104,93;104,48;103,2;102,4;102,96;102,97;103,03;102,98;104,88;108,14;107,48;110,35;109,86;110,8;112,28;111,47;112,04;111,95;113,19;113,43;111,26;111,33;111,55;114,23;114,23;114,59;114,04;113,25;114,44;114,71;114,79;114,19;114,43
Chainlink;13,5548;13,6587;13,8515;14,0089;14,0481;14,0175;13,9021;13,9181;13,807;13,772;13,8225;13,9561;14,2192;14,1603;14,5698;14,5427;14,7217;14,9499;14,9925;15,2581;15,2007;15,086;15,2072;14,7217;14,7485;14,6736;14,9538;15,0299;15,1718;15,1449;14,9724;14,9675;15,1269;14,9069;14,9209;14,8866
Polygon;1,424041;1,460041;1,47139;1,491329;1,501989;1,49458;1,477815;1,482218;1,475172;1,480961;1,482386;1,505629;1,536813;1,539994;1,571501;1,573096;1,584218;1,60661;1,598208;1,617768;1,630593;1,623188;1,636563;1,57256;1,565688;1,558308;1,588602;1,595259;1,599083;1,597072;1,593073;1,609498;1,628827;1,607825;1,581917;1,58562
Algorand;0,7849;0,785949;0,798984;0,810352;0,8118;0,806179;0,796945;0,797298;0,795098;0,797922;0,791307;0,807602;0,826531;0,821812;0,835574;0,832953;0,837513;0,847458;0,846928;0,863405;0,863814;0,865505;0,868474;0,864031;0,863534;0,846417;0,873819;0,86977;0,870726;0,851663;0,84428;0,847714;0,851495;0,849284;0,843446;0,836827
Bitcoin Cash;273,02;276,2;277,77;279,11;279,19;277,2;275,8;275,91;275,12;277,78;277,52;278,8;285,03;283,66;288,62;287,63;289,51;291,9;291,37;292,57;294,56;296,39;295,72;292,19;291,71;290,48;297,52;298,62;296,43;297,21;295,05;297,2;299,73;300,26;297,96;298,01
Uniswap;9,093;9,211;9,35;9,407;9,328;9,252;9,147;9,168;9,092;9,2;9,178;9,23;9,49;9,472;9,595;9,594;9,611;9,796;9,67;9,865;9,969;9,953;10,025;9,729;9,541;9,536;9,863;9,859;9,946;9,889;9,853;9,903;9,982;9,954;9,777;9,676
Elrond;148,447;149,403;154,413;155,549;158,374;156,535;151,304;150,776;149,648;151,814;153,048;155,426;160,516;159,674;163,233;168,466;169,241;169,837;167,674;168,38;169,079;169,416;168,745;166,341;164,638;163,64;168,529;168,139;169,677;170,174;168,671;172,648;171,48;169,267;169,315;169,752
Cosmos;24,0992;24,4402;25,1054;25,1818;25,388;25,115;24,7741;25,0559;24,8562;24,9852;24,6624;25,4082;26,1362;25,7163;26,0011;26,4062;26,686;26,539;25,572;25,3384;25,2946;25,2652;25,1627;24,7344;24,6812;24,3607;24,9502;25,0303;25,3914;25,2318;25,0425;25,1808;25,3669;25,2759;25,1264;25,0854
Dai;0,8829;0,88159;0,88087;0,88062;0,87934;0,87964;0,88019;0,8801;0,8802;0,88032;0,88023;0,88027;0,88051;0,88001;0,87931;0,87969;0,88063;0,88069;0,88206;0,87906;0,879;0,87889;0,87892;0,87935;0,8792;0,87986;0,88009;0,87904;0,87863;0,88045;0,88174;0,88183;0,88083;0,88009;0,88028;0,88028
Vechain;0,04732374;0,04836006;0,04858937;0,04897154;0,0490512;0,04883904;0,04849134;0,0486851;0,04838234;0,04869287;0,04904294;0,04938085;0,05070495;0,05038392;0,05228388;0,05224007;0,05248165;0,0533864;0,05274105;0,05366709;0,0537367;0,05321249;0,0537455;0,05201954;0,05199329;0,05143297;0,05275393;0,05291117;0,05365685;0,05377624;0,0527234;0,05314093;0,05343871;0,05287762;0,05253376;0,05231931
Axie Infinity;48,4545;48,5927;49,8671;50,7659;50,732;50,538;50,0502;50,605;50,3025;50,2346;50,0533;50,4905;52,4221;52,3316;53,525;53,3935;53,9275;54,9641;54,6206;56,2;55,9259;56,1937;56,2073;55,3005;55,6097;55,5444;55,9974;56,0521;56,8648;57,4412;57,2854;57,5613;57,2539;55,2651;54,7619;54,4325
Stellar;0,175418;0,177924;0,18027;0,182044;0,182573;0,181665;0,179666;0,179764;0,177691;0,179902;0,180468;0,182295;0,186337;0,187253;0,192019;0,192434;0,194074;0,195918;0,1957;0,19704;0,1936;0,192867;0,193926;0,192;0,189008;0,188095;0,19316;0,191586;0,193167;0,192492;0,190602;0,192042;0,19315;0,19144;0,191749;0,191396
Internet Computer;17,2332;17,2852;17,765;17,7826;17,8464;17,7733;17,5964;17,7109;17,5632;17,5759;17,6384;17,9222;18,5719;18,3222;18,8099;18,8339;18,9985;19,2057;19,1393;19,1203;19,527;19,5579;19,4215;19,1049;18,8453;18,3123;19,0386;18,8189;18,9975;19,0472;18,901;19,1106;18,926;19,1177;18,8998;18,8251
Tron;0,05560374;0,05636223;0,05616769;0,05641442;0,0559944;0,05579341;0,05545768;0,05554575;0,05512927;0,05530918;0,05560108;0,05579235;0,05700124;0,05704655;0,05776753;0,05774319;0,05761484;0,05839494;0,05816781;0,05870662;0,05882727;0,05843613;0,05861626;0,05794805;0,05780063;0,05803597;0,05879766;0,05846271;0,05867959;0,05841911;0,05812369;0,05841708;0,0585491;0,05856007;0,05852251;0,05844759
Filecoin;18,3108;18,0084;18,329;18,5228;18,5944;18,4511;18,2481;18,3098;18,1709;18,1574;18,1668;18,7061;19,699;19,6089;19,7253;19,7408;19,9043;19,9791;19,9952;20,2373;20,4766;20,4724;20,4062;20,1604;19,745;19,6857;19,9016;19,4524;19,5995;19,3644;19,1304;19,34;19,578;19,4701;19,3138;19,3446
Theta Network;2,950222;2,967593;3,052477;3,10623;3,12224;3,056402;3,049864;3,066597;3,03876;3,056189;3,060085;3,115917;3,198339;3,180612;3,266422;3,267536;3,320106;3,368711;3,379592;3,480182;3,45086;3,445489;3,474598;3,42956;3,42809;3,383377;3,444907;3,462013;3,491954;3,538096;3,347826;3,36421;3,397522;3,354848;3,336972;3,350303
Ethereum Classic;25,451;25,818;26,197;26,426;26,626;26,411;26,28;26,53;26,036;26,072;26,114;26,486;27,473;26,988;27,783;27,765;27,824;28;27,72;28,469;28,3;28,66;28,772;28,201;28,2;27,959;28,475;28,487;28,785;28,82;28,702;28,88;29,367;29,204;28,949;29,217
Hedera Hashgraph;0,20291698;0,2058588;0,20902064;0,21139988;0,211816;0,21056776;0,2087259;0,20890204;0,2078688;0,2102066;0,21028728;0,21356975;0,21847686;0,21759297;0,2218104;0,22197405;0,22119344;0,22634352;0,22483552;0,2277905;0,228592;0,22978722;0,22876784;0,22104348;0,21971103;0,22036412;0,22640226;0,22663648;0,22789877;0,2289719;0,22510024;0,22692756;0,2282049;0,2270337;0,22871779;0,22496775
Near;9,0538;9,0562;9,3672;9,5848;9,5718;9,509;9,4376;9,3275;9,2872;9,3395;9,3365;9,5116;9,7791;9,6353;9,779;9,8836;10,1305;9,914;9,7029;9,8953;9,9736;10,0023;9,9112;9,6431;9,6481;9,5585;9,8471;9,9233;10,0523;9,9941;9,8829;9,9268;9,96;9,9949;9,8815;9,999
Decentraland;2,618278;2,659899;2,688541;2,736302;2,762848;2,776202;2,748489;2,736687;2,720703;2,735857;2,72079;2,816038;2,871284;2,849331;2,856161;2,836355;2,866991;2,911022;2,900449;2,937354;2,870412;2,894545;2,906459;2,817975;2,814536;2,813494;2,905364;2,9029;2,92744;2,910384;2,879712;2,939824;2,922961;2,855233;2,788737;2,794179
Fantom;1,670333;1,687266;1,702831;1,722041;1,724096;1,714472;1,687245;1,69068;1,68268;1,677776;1,68726;1,717893;1,746494;1,74233;1,78487;1,798157;1,87675;1,833312;1,818803;1,831735;1,843067;1,82282;1,821878;1,787171;1,775902;1,778584;1,815211;1,817931;1,843229;1,833097;1,820391;1,815862;1,820617;1,822084;1,832032;1,80617
The Graph;0,36798278;0,37136809;0,38314576;0,38614184;0,393008;0,39419834;0,38645116;0,38468976;0,38499768;0,3881686;0,39204408;0,39596272;0,40040882;0,40152028;0,4097331;0,4096086;0,41439315;0,41985132;0,42055184;0,4253262;0,42896168;0,43301656;0,4404792;0,4358418;0,43537452;0,4173096;0,42594622;0,426703;0,43110045;0,4285184;0,43043472;0,42394515;0,42504264;0,4225276;0,41683531;0,41744505
Tezos;3,213809;3,271338;3,324768;3,354348;3,37392;3,297604;3,25859;3,278846;3,27041;3,272034;3,255437;3,313193;3,425534;3,404462;3,463587;3,478855;3,468214;3,500039;3,512834;3,524157;3,54933;3,581796;3,588894;3,524557;3,51608;3,508394;3,572119;3,603661;3,622826;3,652626;3,567543;3,601549;3,66097;3,618267;3,629365;3,614453
Flow;5,643;5,591;5,7;5,848;5,875;5,828;5,783;5,847;5,76;5,838;5,84;5,917;6,048;5,98;6,157;6,134;6,211;6,261;6,274;6,413;6,486;6,464;6,364;6,217;6,274;6,219;6,417;6,499;6,475;6,472;6,401;6,578;6,513;6,457;6,38;6,367
Helium;22,6857;22,5527;22,8231;23,0258;23,1176;23,1167;22,3962;22,2201;21,9055;22,025;22,0288;22,3169;22,9132;22,5348;22,85;22,8402;23,0979;23,5069;23,313;24,538;24,2132;23,7526;24,0022;23,3622;23,2822;22,908;23,5763;23,605;23,827;23,8751;23,516;23,8221;24,2391;24,0072;23,911;24,0376
Monero;142,56;142,25;144,92;145,72;146,3;144,21;144,38;144,76;143,41;144,49;147,42;147,46;152,37;151,98;154,74;155,74;157,2;157,25;156,66;159,03;158,32;159,32;160,33;160,23;159,5;157,16;159,07;158,51;159,4;159,7;157,97;160,35;159,42;159,48;158,66;158,26
Eos;2,0383;2,0612;2,0687;2,0868;2,0847;2,0793;2,0788;2,0755;2,0592;2,0624;2,0654;2,0926;2,151;2,142;2,1952;2,1748;2,1953;2,2233;2,2107;2,2465;2,2595;2,2289;2,225;2,1785;2,1815;2,1816;2,2217;2,2555;2,1993;2,2;2,1881;2,2196;2,2147;2,2086;2,1865;2,1746
